date,discharge,smlt,ssrd,e,u10,v10,sp,skt
2008-06-02,1143.0,0.001484866106412,19868922.98125,-1.2856140804583334,-0.057032733875,-0.3499997458333333,759.1933141666667,16.96568675
2008-06-03,1180.0,0.0015132608660833,18921416.054166667,-1.249101767541667,0.2458400005416666,-0.5127527991666666,759.5294258333333,16.790805941666665
2008-06-04,1268.0,0.0015091342875366,19983761.327916667,-1.3636470214708334,0.0284616754166666,-0.3801026662916666,759.1816820833333,16.689070325
2008-06-05,1336.0,0.0013368136624916,21074573.006666668,-1.4482077336666668,-0.0008324424999999,-0.4888034689583333,758.3505420833334,16.658462495833334
2008-06-06,1463.0,0.0012588655238516,20827852.396666665,-1.31181810425,-0.1436187931666666,-0.2180934801666666,756.5104091666667,16.859521275000002
2008-06-07,1486.0,0.0012272309051712,20845367.53125,-1.3185113222083331,0.0940271508749999,-0.0278935840749999,755.8481858333333,17.802312233333335
2008-06-08,1449.0,0.0011941694508425,20895621.1125,-1.3463064596249998,0.1735613263541666,-0.2903578222083333,756.7926237500001,18.47716775416667
2008-06-09,1428.0,0.0011448671489298,20993004.769583333,-1.3962043035,-0.0682850534416666,-0.1038122759166666,756.6088245833333,19.508820879166667
2008-06-10,1499.0,0.0011265809469945,20503315.375,-1.3320428013958334,0.4216898844166667,-0.4228074309583333,758.1579687499999,19.613304066666668
2008-06-11,1626.0,0.0010701238380375,20101099.0,-1.2999605549708333,-0.0490459568020833,-0.7352680329166666,757.8452483333334,19.5289955
2008-06-12,1771.0,0.0009785200244183,19970831.55,-1.30889194375,-0.3344485264166666,-0.8095030629166667,756.8306179166666,19.59932190416667
2008-06-13,1733.0,0.0009142260869225,20510466.9125,-1.3934222983875,-1.1700533879166668,-0.4878248364375,755.2904216666667,19.786654020833332
2008-06-14,1866.0,0.0007850185731166,20818197.415,-1.3932027814166668,-0.7782486170833334,0.0053345855016666,753.49095125,20.988201145833333
2008-06-15,1958.0,0.0006416922297125,19349920.945833333,-1.25550143835,-0.1811951179166666,0.30173617025,752.2583008333332,21.136133666666662
2008-06-16,1917.0,0.000530918820975,18702334.491666667,-1.2508393906541666,0.42506624465,-0.4265469126666667,752.64424125,20.506537
2008-06-17,1820.0,0.0004895439704166,18640918.89,-1.2912629811041667,0.4059037703333333,-0.7238957462500001,752.8109383333334,19.563245041666665
2008-06-18,1659.0,0.0004621535036041,19182717.3,-1.28167765175,0.1701780715,-0.5832971516666666,753.7144508333334,18.881573904166668
2008-06-19,1476.0,0.0004079089633975,19777256.605,-1.2755505944583334,0.2296927227499999,-0.5488692679166667,754.7142795833333,18.538808166666666
2008-06-20,1309.0,0.0003690498774687,20900547.77083333,-1.378475464875,0.1329091295833333,-0.5170900855487083,755.9066466666667,18.526297229166666
2008-06-21,1273.0,0.0002994784452245,20071276.51833333,-1.2784276373083332,-0.5010896990416667,-0.2333745310333333,756.5145545833334,18.986290041666667
2008-06-22,1209.0,0.0003949038195758,19477221.88208333,-1.301237174583333,-0.0417562932916666,-0.1608214604583333,755.9595408333333,18.97390998333333
2008-06-23,1181.0,0.00034442512955,19205683.660416663,-1.25149466675,0.4834264282916666,-0.1770138147916666,756.2743658333334,19.085161970833333
2008-06-24,1158.0,0.0003034824732045,20018359.394166667,-1.353127134458333,0.4916785485,-0.4356862420416666,757.3210429166667,19.563357041666663
2008-06-25,1164.0,0.0002457570311115,20948909.355,-1.405148235125,0.23135518265,-0.22931956025,758.7813920833333,20.7527478625
2008-06-26,1306.0,0.0001794250667629,20093812.46375,-1.3028905328458331,0.2586401202083333,-0.5977209883166666,758.3975691666666,21.04838308333333
2008-06-27,1387.0,0.0001329244313735,19434041.05666667,-1.2649400424333332,0.2993201436666666,-0.4326990458333333,757.0392625,20.566577854166667
2008-06-28,1385.0,0.0002112292934875,18163713.48375,-1.25858284425,0.52149764125,-0.1938232057375,755.8318583333333,18.91028341666667
2008-06-29,1407.0,0.0003037922502391,18786523.99333333,-1.2325840815,0.440619408625,-0.435114234625,754.64440125,18.6248116875
2008-06-30,1360.0,0.0003388909382749,18451421.91208333,-1.29957650025,0.46873036375,-0.2837092686666667,754.8970516666667,17.6803334875
2008-07-01,1289.0,0.0002581139135758,20353543.33083333,-1.4335285642083333,0.277989256875,-0.0415707087625,755.7931270833333,18.951452854166664
2008-07-02,1256.0,0.0001675964900245,20794196.989166666,-1.4644406309166669,0.3145723427083333,0.0608559098333333,756.7271725,20.59540302083333
2008-07-03,1234.0,0.0001078055780452,20739590.380416665,-1.3855599131916667,-0.1399034955833333,-0.3323129170833333,757.0481470833333,21.271526583333333
2008-07-04,1282.0,8.965783928541666e-05,20763896.516666666,-1.3436486196916666,-0.3599912095833333,-0.1610939342374999,755.5573058333333,22.280578416666668
2008-07-05,1421.0,8.498024567991665e-05,20205730.180416662,-1.261611463575,-0.132943157,-0.2189876510208333,754.2901391666666,22.985655604166663
2008-07-06,1564.0,8.387451543458332e-05,18611443.039166667,-1.149734055979167,0.3521454281666666,-0.5790029533333333,753.8621158333334,22.34377933333333
